datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-15-08,63.8,29.5,1324495.0,452255.0,256990.0,0.0,21349.0,449.0,12.0,1.106696,11.30957,38.14969,63.18913,55.98839,61.86189,63.18913
05-04-2026-00-15-09,63.8,29.5,1321067.0,449867.0,259068.0,0.0,21945.0,496.0,14.0,1.103831,11.25285,38.31001,64.68038,56.64639,63.13192,64.68038
05-04-2026-00-15-10,63.7,29.5,1319212.0,449794.0,261295.0,0.0,22354.0,532.0,16.0,1.102281,11.24964,38.53933,65.86214,57.21761,64.17357,65.86214
05-04-2026-00-15-11,63.7,29.5,1322054.0,450883.0,263960.0,0.0,22738.0,573.0,17.0,1.104656,11.27658,38.84465,67.11309,57.84418,65.32868,67.11309
05-04-2026-00-15-12,63.7,29.5,1320415.0,451424.0,264926.0,0.0,23019.0,634.0,13.0,1.103287,11.28743,38.95639,67.86798,58.1906,66.47069,67.86798
05-04-2026-00-15-13,63.7,29.5,1311030.0,449588.0,264513.0,0.0,23160.0,683.0,8.0,1.095444,11.23815,38.86399,68.02205,58.21558,67.14091,68.02205
05-04-2026-00-15-14,63.7,29.5,1303359.0,447715.0,263513.0,0.0,23084.0,677.0,5.0,1.089035,11.1895,38.71088,67.42348,57.99961,66.8447,67.42348
05-04-2026-00-15-15,63.7,29.5,1295687.0,445285.0,261493.0,0.0,22841.0,620.0,3.0,1.082624,11.12827,38.43864,66.00524,57.52389,65.62919,66.00524
05-04-2026-00-15-16,63.7,29.5,1291747.0,444326.0,259406.0,0.0,22498.0,550.0,2.0,1.079332,11.10333,38.19571,64.42998,56.99417,64.18673,64.42998
05-04-2026-00-15-17,63.7,29.5,1286876.0,443193.0,257523.0,0.0,22081.0,500.0,1.0,1.075262,11.07371,37.96946,63.11676,56.41968,62.96194,63.11676
05-04-2026-00-15-18,63.7,29.5,1282311.0,442807.0,256213.0,0.0,21916.0,491.0,0.0,1.071448,11.06118,37.82015,62.64529,56.13268,62.5458,62.64529
05-04-2026-00-15-19,63.7,29.5,1277456.0,441502.0,253916.0,0.0,21659.0,474.0,0.0,1.067392,11.0277,37.54677,61.89874,55.64437,61.8361,61.89874
05-04-2026-00-15-20,63.7,29.5,1275223.0,440033.0,253458.0,0.0,21559.0,457.0,0.0,1.065526,10.99268,37.4639,61.49844,55.47834,61.45793,61.49844
05-04-2026-00-15-21,63.7,29.5,1277905.0,440242.0,259246.0,0.0,21506.0,460.0,0.0,1.067766,10.99963,38.07538,62.07341,56.04548,62.05504,62.07341
05-04-2026-00-15-22,63.6,29.5,1278626.0,440404.0,266328.0,0.0,21378.0,462.0,0.0,1.068369,11.00389,38.81921,62.7343,56.68234,62.71958,62.7343
05-04-2026-00-15-23,63.6,29.5,1280111.0,441106.0,273348.0,0.0,21373.0,465.0,0.0,1.06961,11.02096,39.5695,63.51184,57.4285,63.51184,63.51184
05-04-2026-00-15-24,63.7,29.5,1280112.0,440974.0,279472.0,0.0,21307.0,504.0,2.0,1.069611,11.01799,40.20608,64.87663,58.00999,64.59653,64.87663
05-04-2026-00-15-25,63.7,29.5,1278549.0,440116.0,284535.0,0.0,21179.0,571.0,7.0,1.068305,10.99732,40.71422,66.69395,58.41087,65.87555,66.69395
05-04-2026-00-15-26,63.8,29.5,1273302.0,436492.0,285809.0,0.0,20361.0,575.0,10.0,1.063921,10.91119,40.76112,66.3578,57.77461,65.28864,66.3578
05-04-2026-00-15-27,63.8,29.5,1266295.0,432399.0,285868.0,0.0,19391.0,579.0,14.0,1.058066,10.81301,40.6691,65.99018,56.87173,64.44202,65.96094
05-04-2026-00-15-28,63.7,29.5,1258678.0,428596.0,285259.0,0.0,18526.0,591.0,20.0,1.051702,10.72084,40.51339,65.97457,55.99328,63.71532,65.88684
